ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,QA_content_initial,time_axis,NPQ,Phi2,LEF,qL,Z,V,pmf,Dy,pHlumen,fraction_Dy,fraction_DpH,Klumen,Cl_lumen,Cl_stroma,idx,v_ATP_made,Phi2*PSII_antenna_size*ratio_absorb*100,NADPH,2NADPH,3_v_ATP_made,CO2
0.1,0.07,0.45555556,8.9,0.1,1199.05,1.714388749,0.546013925,22.04467222,0.668980454,0.421940141,0.578059859,0.119130992,0.011549322,6.006972166,0.096946411,0.903053589,0.087628297,0.058311639,0.038168836,48,64.5658614348389,2.4873967937117305,1.2436983968558653,0.6218491984279326,21.521953811612963,0.6218491984279326
0.1,0.07,0.45555556,10.0,0.1,1199.05,1.708834679,0.546482749,22.06316249,0.668875637,0.419543102,0.580456898,0.119177236,0.011662553,6.008088606,0.097858893,0.902141107,0.087198048,0.058509045,0.038149096,49,64.68230535356479,2.4895325475103447,1.2447662737551723,0.6223831368775862,21.560768451188263,0.6223831368775862
0.1,0.07,0.54444444,0.1,0.1,1199.05,0.028759289,0.081095741,3.273032136,0.018604664,0.00072126,0.99927874,0.064892238,0.003142352,6.770835236,0.04842416,0.95157584,0.089774674,0.044181417,0.039581858,50,4.1144180926236285,0.4415212529513003,0.2207606264756501,0.110380313237825,1.3714726975412097,0.110380313237825
0.1,0.07,0.54444444,1.2,0.1,1199.05,1.473539615,0.479513785,19.35976525,0.466972096,0.318331435,0.681668565,0.114505346,0.009767954,6.05437679,0.085305657,0.914694343,0.089144596,0.054355036,0.038564496,51,53.51060266852494,2.6106861414660543,1.3053430707330271,0.6526715353665136,17.83686755617498,0.6526715353665136
0.1,0.07,0.54444444,2.3,0.1,1199.05,1.768201257,0.495759169,20.0134291,0.557713183,0.444833617,0.555166383,0.119252164,0.011003398,5.995853897,0.092269991,0.907730009,0.090178039,0.056990422,0.038300958,52,64.87120892136157,2.6991332314107037,1.349566615705352,0.674783307852676,21.623736307120524,0.674783307852676
0.1,0.07,0.54444444,3.4,0.1,1199.05,1.768939282,0.496289288,20.03659732,0.55904578,0.445203723,0.554796277,0.119376535,0.011120623,5.995734794,0.093155849,0.906844151,0.089847395,0.057308024,0.038269198,53,65.18539672509854,2.7020194348315876,1.3510097174157938,0.6755048587078969,21.72846557503285,0.6755048587078969
0.1,0.07,0.54444444,4.5,0.1,1199.05,1.765307806,0.496711463,20.05465213,0.559256194,0.443626815,0.556373185,0.119442407,0.011230909,5.996475035,0.094027821,0.905972179,0.089452599,0.057546934,0.038245307,54,65.35212146163268,2.7043179431461577,1.3521589715730788,0.6760794857865394,21.78404048721089,0.6760794857865394
0.1,0.07,0.54444444,5.6,0.1,1199.05,1.760657882,0.497168334,20.07183437,0.559337169,0.441598523,0.558401477,0.119498951,0.01134369,5.997412329,0.094927111,0.905072889,0.089037581,0.057762233,0.038223777,55,65.49541150417035,2.7068053519036295,1.3534026759518147,0.6767013379759074,21.83180383472345,0.6767013379759074
0.1,0.07,0.54444444,6.7,0.1,1199.05,1.755597695,0.497592193,20.08876832,0.559259361,0.439390177,0.560609823,0.119549613,0.011455531,5.998431976,0.0958224,0.9041776,0.088613755,0.057967359,0.038203264,56,65.6239325537223,2.7091130286625695,1.3545565143312848,0.6772782571656424,21.874644184574095,0.6772782571656424
0.1,0.07,0.54444444,7.8,0.1,1199.05,1.750326122,0.498017286,20.10562442,0.559139485,0.437090528,0.562909472,0.119598371,0.011567939,5.999492806,0.096723211,0.903276789,0.088185615,0.058167479,0.038183252,57,65.74774521054245,2.711427423865899,1.3557137119329494,0.6778568559664747,21.915915070180816,0.6778568559664747
