ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,idx,Phi2_initial,Phi2,Phi2*PSII_antenna_size*100
0.3,5.0,0.1,8.0,355,0.829304255,0.829288842,8.29288842
0.3,5.0,0.1,10.0,356,0.208795468,0.829304255,8.293042550000001
0.3,5.0,0.3,0.1,357,0.799334578,0.208795468,6.26386404
0.3,5.0,0.3,0.5,358,0.827035327,0.799334578,23.98003734
0.3,5.0,0.3,1.0,359,0.824547824,0.827035327,24.81105981
0.3,5.0,0.3,4.0,360,0.824669068,0.824547824,24.73643472
0.3,5.0,0.3,6.0,361,0.824790328,0.824669068,24.740072039999998
0.3,5.0,0.3,8.0,362,0.824910087,0.824790328,24.743709839999998
0.3,5.0,0.3,10.0,363,0.125976642,0.824910087,24.74730261
0.3,5.0,0.5,0.1,364,0.55491338,0.125976642,6.2988321
0.3,5.0,0.5,0.5,365,0.818862755,0.55491338,27.745669
0.3,5.0,0.5,1.0,366,0.816363934,0.818862755,40.943137750000005
0.3,5.0,0.5,4.0,367,0.816628778,0.816363934,40.8181967
0.3,5.0,0.5,6.0,368,0.816905786,0.816628778,40.8314389
0.3,5.0,0.5,8.0,369,0.817182648,0.816905786,40.8452893
