ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,idx,Phi2,Phi2*PSII_antenna_size*100
0.3,0.1,0.9,8.0,278,0.064932152,5.843893680000001
0.3,0.1,0.9,10.0,279,0.065141191,5.86270719
0.3,1.0,0.1,0.1,280,0.525515073,5.25515073
0.3,1.0,0.1,0.5,281,0.739367411,7.393674110000001
0.3,1.0,0.1,1.0,282,0.73236688,7.323668800000001
0.3,1.0,0.1,4.0,283,0.732715518,7.32715518
0.3,1.0,0.1,6.0,284,0.733591471,7.335914710000001
0.3,1.0,0.1,8.0,285,0.734524598,7.3452459800000005
0.3,1.0,0.1,10.0,286,0.735483616,7.35483616
0.3,1.0,0.3,0.1,287,0.17891448,5.3674344
0.3,1.0,0.3,0.5,288,0.706629972,21.19889916
0.3,1.0,0.3,1.0,289,0.663616125,19.90848375
0.3,1.0,0.3,4.0,290,0.658130841,19.74392523
0.3,1.0,0.3,6.0,291,0.658997675,19.769930249999998
0.3,1.0,0.3,8.0,292,0.659947746,19.798432379999998
0.3,1.0,0.3,10.0,293,0.660922109,19.827663270000002
0.3,1.0,0.5,0.1,294,0.107585842,5.3792921
0.3,1.0,0.5,0.5,295,0.485195004,24.2597502
0.3,1.0,0.5,1.0,296,0.646092885,32.304644249999996
0.3,1.0,0.5,4.0,297,0.629165518,31.4582759
0.3,1.0,0.5,6.0,298,0.630052662,31.5026331
0.3,1.0,0.5,8.0,299,0.631000712,31.550035599999998
0.3,1.0,0.5,10.0,300,0.631973558,31.5986779
0.3,1.0,0.7,0.1,301,0.076909291,5.383650370000001
0.3,1.0,0.7,0.5,302,0.352064642,24.644524939999997
0.3,1.0,0.7,1.0,303,0.573536036,40.14752252
0.3,1.0,0.7,4.0,304,0.597954385,41.85680695
0.3,1.0,0.7,6.0,305,0.598905763,41.92340341
0.3,1.0,0.7,8.0,306,0.599898449,41.99289142999999
0.3,1.0,0.7,10.0,307,0.600901399,42.06309792999999
0.3,1.0,0.9,0.1,308,0.059844929,5.38604361
0.3,1.0,0.9,0.5,309,0.275393738,24.78543642
0.3,1.0,0.9,1.0,310,0.475471381,42.79242429
0.3,1.0,0.9,4.0,311,0.548720915,49.38488235
0.3,1.0,0.9,6.0,312,0.549848544,49.48636896000001
0.3,1.0,0.9,8.0,313,0.550945213,49.585069170000004
0.3,1.0,0.9,10.0,314,0.552038708,49.68348372
0.3,3.0,0.1,0.1,315,0.545036976,5.45036976
0.3,3.0,0.1,0.5,316,0.810555177,8.105551770000002
0.3,3.0,0.1,1.0,317,0.800971651,8.00971651
0.3,3.0,0.1,4.0,318,0.801388177,8.013881770000001
0.3,3.0,0.1,6.0,319,0.801858672,8.018586720000002
0.3,3.0,0.1,8.0,320,0.80236425,8.0236425
0.3,3.0,0.1,10.0,321,0.802868274,8.02868274
0.3,3.0,0.3,0.1,322,0.186831327,5.604939809999999
0.3,3.0,0.3,0.5,323,0.77597991,23.2793973
0.3,3.0,0.3,1.0,324,0.774732549,23.241976469999997
0.3,3.0,0.3,4.0,325,0.733059393,21.99178179
0.3,3.0,0.3,6.0,326,0.733851786,22.01555358
0.3,3.0,0.3,8.0,327,0.734741575,22.04224725
0.3,3.0,0.3,10.0,328,0.735485658,22.06456974
