P700_red_initial,ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,Phi2,Result
0.1,0.1,0.55,0.4556,0.129220983,5.887307985480001
1.2,0.1,0.55,0.4556,0.129220983,5.887307985480001
2.3,0.1,0.55,0.4556,0.129220983,5.887307985480001
3.4,0.1,0.55,0.4556,0.129220983,5.887307985480001
4.5,0.1,0.55,0.4556,0.129220983,5.887307985480001
5.6,0.1,0.55,0.4556,0.129220983,5.887307985480001
6.7,0.1,0.55,0.4556,0.129220983,5.887307985480001
7.8,0.1,0.55,0.4556,0.129220983,5.887307985480001
8.9,0.1,0.55,0.4556,0.129220983,5.887307985480001
10.0,0.1,0.55,0.4556,0.129220983,5.887307985480001
0.1,0.1,0.55,0.5444,0.108245023,5.8928590521199995
1.2,0.1,0.55,0.5444,0.108245023,5.8928590521199995
2.3,0.1,0.55,0.5444,0.108245023,5.8928590521199995
3.4,0.1,0.55,0.5444,0.108245023,5.8928590521199995
4.5,0.1,0.55,0.5444,0.108245023,5.8928590521199995
