Phi2,P700_red_initial,ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,
0.425484013,0.7,0.3,3,0.9,0.7,38.29356121
0.425484013,0.7,0.3,3,0.9,0.7,38.29356121
0.425484013,0.7,0.3,3,0.9,0.7,38.29356121
0.829230641,0.7,0.3,5,0.1,0.7,8.29230641
0.829230641,0.7,0.3,5,0.1,0.7,8.29230641
0.829230641,0.7,0.3,5,0.1,0.7,8.29230641
0.829230641,0.7,0.3,5,0.1,0.7,8.29230641
0.829230641,0.7,0.3,5,0.1,0.7,8.29230641
0.829230641,0.7,0.3,5,0.1,0.7,8.29230641
0.829230641,0.7,0.3,5,0.1,0.7,8.29230641
0.824447499,0.7,0.3,5,0.3,0.7,24.73342496
0.824447499,0.7,0.3,5,0.3,0.7,24.73342496
0.824447499,0.7,0.3,5,0.3,0.7,24.73342496
0.824447499,0.7,0.3,5,0.3,0.7,24.73342496
0.824447499,0.7,0.3,5,0.3,0.7,24.73342496
0.824447499,0.7,0.3,5,0.3,0.7,24.73342496
0.824447499,0.7,0.3,5,0.3,0.7,24.73342496
0.728555301,0.7,0.3,5,0.5,0.7,36.42776505
0.728555301,0.7,0.3,5,0.5,0.7,36.42776505
0.728555301,0.7,0.3,5,0.5,0.7,36.42776505
0.728555301,0.7,0.3,5,0.5,0.7,36.42776505
0.728555301,0.7,0.3,5,0.5,0.7,36.42776505
0.728555301,0.7,0.3,5,0.5,0.7,36.42776505
0.728555301,0.7,0.3,5,0.5,0.7,36.42776505
0.548946729,0.7,0.3,5,0.7,0.7,38.42627105
0.548946729,0.7,0.3,5,0.7,0.7,38.42627105
0.548946729,0.7,0.3,5,0.7,0.7,38.42627105
0.548946729,0.7,0.3,5,0.7,0.7,38.42627105
0.548946729,0.7,0.3,5,0.7,0.7,38.42627105
0.548946729,0.7,0.3,5,0.7,0.7,38.42627105
0.548946729,0.7,0.3,5,0.7,0.7,38.42627105
0.432996944,0.7,0.3,5,0.9,0.7,38.96972498
0.432996944,0.7,0.3,5,0.9,0.7,38.96972498
0.432996944,0.7,0.3,5,0.9,0.7,38.96972498
0.432996944,0.7,0.3,5,0.9,0.7,38.96972498
0.432996944,0.7,0.3,5,0.9,0.7,38.96972498
0.432996944,0.7,0.3,5,0.9,0.7,38.96972498
0.432996944,0.7,0.3,5,0.9,0.7,38.96972498
0.829560155,0.7,0.3,7,0.1,0.7,8.29560155
0.829560155,0.7,0.3,7,0.1,0.7,8.29560155
0.829560155,0.7,0.3,7,0.1,0.7,8.29560155
0.829560155,0.7,0.3,7,0.1,0.7,8.29560155
0.829560155,0.7,0.3,7,0.1,0.7,8.29560155
0.829560155,0.7,0.3,7,0.1,0.7,8.29560155
0.829560155,0.7,0.3,7,0.1,0.7,8.29560155
0.824846725,0.7,0.3,7,0.3,0.7,24.74540175
0.824846725,0.7,0.3,7,0.3,0.7,24.74540175
0.824846725,0.7,0.3,7,0.3,0.7,24.74540175
0.824846725,0.7,0.3,7,0.3,0.7,24.74540175
0.824846725,0.7,0.3,7,0.3,0.7,24.74540175
0.824846725,0.7,0.3,7,0.3,0.7,24.74540175
0.824846725,0.7,0.3,7,0.3,0.7,24.74540175
0.732718351,0.7,0.3,7,0.5,0.7,36.63591754
0.732718351,0.7,0.3,7,0.5,0.7,36.63591754
0.732718351,0.7,0.3,7,0.5,0.7,36.63591754
0.732718351,0.7,0.3,7,0.5,0.7,36.63591754
0.732718351,0.7,0.3,7,0.5,0.7,36.63591754
0.732718351,0.7,0.3,7,0.5,0.7,36.63591754
0.732718351,0.7,0.3,7,0.5,0.7,36.63591754
0.554955264,0.7,0.3,7,0.7,0.7,38.84686847
0.554955264,0.7,0.3,7,0.7,0.7,38.84686847
0.554955264,0.7,0.3,7,0.7,0.7,38.84686847
0.554955264,0.7,0.3,7,0.7,0.7,38.84686847
0.554955264,0.7,0.3,7,0.7,0.7,38.84686847
0.554955264,0.7,0.3,7,0.7,0.7,38.84686847
0.554955264,0.7,0.3,7,0.7,0.7,38.84686847
0.438426713,0.7,0.3,7,0.9,0.7,39.45840413
0.438426713,0.7,0.3,7,0.9,0.7,39.45840413
0.438426713,0.7,0.3,7,0.9,0.7,39.45840413
0.438426713,0.7,0.3,7,0.9,0.7,39.45840413
0.438426713,0.7,0.3,7,0.9,0.7,39.45840413
0.438426713,0.7,0.3,7,0.9,0.7,39.45840413
0.438426713,0.7,0.3,7,0.9,0.7,39.45840413
0.55831916,0.7,0.7,0.07,0.1,0.7,5.583191601
0.55831916,0.7,0.7,0.07,0.1,0.7,5.583191601
0.55831916,0.7,0.7,0.07,0.1,0.7,5.583191601
0.55831916,0.7,0.7,0.07,0.1,0.7,5.583191601
0.55831916,0.7,0.7,0.07,0.1,0.7,5.583191601
0.55831916,0.7,0.7,0.07,0.1,0.7,5.583191601
0.55831916,0.7,0.7,0.07,0.1,0.7,5.583191601
0.240495834,0.7,0.7,0.07,0.3,0.7,7.214875017
0.240495834,0.7,0.7,0.07,0.3,0.7,7.214875017
0.240495834,0.7,0.7,0.07,0.3,0.7,7.214875017
