ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,QA_content_initial,idx
0.1,2.38,0.9,10.0,3.4,399
0.1,3.15,0.1,0.1,4.5,400
0.1,3.15,0.1,1.2,4.5,401
0.1,3.15,0.1,2.3,4.5,402
0.1,3.15,0.1,3.4,4.5,403
0.1,3.15,0.1,4.5,4.5,404
0.1,3.15,0.1,5.6,4.5,405
0.1,3.15,0.1,6.7,4.5,406
0.1,3.15,0.1,7.8,4.5,407
0.1,3.15,0.1,8.9,4.5,408
0.1,3.15,0.1,10.0,4.5,409
0.1,3.15,0.18888889,0.1,4.5,410
0.1,3.15,0.18888889,1.2,4.5,411
0.1,3.15,0.18888889,2.3,4.5,412
0.1,3.15,0.18888889,3.4,4.5,413
0.1,3.15,0.18888889,4.5,4.5,414
0.1,3.15,0.18888889,5.6,4.5,415
0.1,3.15,0.18888889,6.7,4.5,416
0.1,3.15,0.18888889,7.8,4.5,417
0.1,3.15,0.18888889,8.9,4.5,418
0.1,3.15,0.18888889,10.0,4.5,419
0.1,3.15,0.27777778,0.1,4.5,420
0.1,3.15,0.27777778,1.2,4.5,421
0.1,3.15,0.27777778,2.3,4.5,422
0.1,3.15,0.27777778,3.4,4.5,423
0.1,3.15,0.27777778,4.5,4.5,424
0.1,3.15,0.27777778,5.6,4.5,425
0.1,3.15,0.27777778,6.7,4.5,426
0.1,3.15,0.27777778,7.8,4.5,427
0.1,3.15,0.27777778,8.9,4.5,428
0.1,3.15,0.27777778,10.0,4.5,429
0.1,3.15,0.36666667,0.1,4.5,430
0.1,3.15,0.36666667,1.2,4.5,431
0.1,3.15,0.36666667,2.3,4.5,432
0.1,3.15,0.36666667,3.4,4.5,433
0.1,3.15,0.36666667,4.5,4.5,434
0.1,3.15,0.36666667,5.6,4.5,435
0.1,3.15,0.36666667,6.7,4.5,436
0.1,3.15,0.36666667,7.8,4.5,437
0.1,3.15,0.36666667,8.9,4.5,438
0.1,3.15,0.36666667,10.0,4.5,439
0.1,3.15,0.45555556,0.1,4.5,440
0.1,3.15,0.45555556,1.2,4.5,441
0.1,3.15,0.45555556,2.3,4.5,442
0.1,3.15,0.45555556,3.4,4.5,443
0.1,3.15,0.45555556,4.5,4.5,444
0.1,3.15,0.45555556,5.6,4.5,445
0.1,3.15,0.45555556,6.7,4.5,446
0.1,3.15,0.45555556,7.8,4.5,447
0.1,3.15,0.45555556,8.9,4.5,448
0.1,3.15,0.45555556,10.0,4.5,449
0.1,3.15,0.54444444,0.1,4.5,450
0.1,3.15,0.54444444,1.2,4.5,451
0.1,3.15,0.54444444,2.3,4.5,452
0.1,3.15,0.54444444,3.4,4.5,453
0.1,3.15,0.54444444,4.5,4.5,454
0.1,3.15,0.54444444,5.6,4.5,455
0.1,3.15,0.54444444,6.7,4.5,456
0.1,3.15,0.54444444,7.8,4.5,457
0.1,3.15,0.54444444,8.9,4.5,458
0.1,3.15,0.54444444,10.0,4.5,459
0.1,3.15,0.63333333,0.1,4.5,460
0.1,3.15,0.63333333,1.2,4.5,461
0.1,3.15,0.63333333,2.3,4.5,462
0.1,3.15,0.63333333,3.4,4.5,463
0.1,3.15,0.63333333,4.5,4.5,464
0.1,3.15,0.63333333,5.6,4.5,465
0.1,3.15,0.63333333,6.7,4.5,466
0.1,3.15,0.63333333,7.8,4.5,467
0.1,3.15,0.63333333,8.9,4.5,468
0.1,3.15,0.63333333,10.0,4.5,469
0.1,3.15,0.72222222,0.1,4.5,470
0.1,3.15,0.72222222,1.2,4.5,471
