ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,idx,CO2
0.7,7,0.5,8,614,4.349527073
0.7,7,0.5,10,615,4.35359738
0.7,7,0.7,0.1,616,0.063698701
0.7,7,0.7,0.5,617,0.315898288
0.7,7,0.7,1,618,0.633482109
0.7,7,0.7,4,619,2.972943817
0.7,7,0.7,6,620,4.662704683
0.7,7,0.7,8,621,5.86616367
0.7,7,0.7,10,622,5.87445003
0.7,7,0.9,0.1,623,0.021627402
0.7,7,0.9,0.5,624,0.105712245
0.7,7,0.9,1,625,0.210722318
0.7,7,0.9,4,626,0.844618017
0.7,7,0.9,6,627,1.283017131
0.7,7,0.9,8,628,1.770941225
0.7,7,0.9,10,629,2.309839598
0.9,0.07,0.1,0.1,630,0.721375148
0.9,0.07,0.1,0.5,631,0.765963371
0.9,0.07,0.1,1,632,0.768042315
0.9,0.07,0.1,4,633,0.7705879
0.9,0.07,0.1,6,634,0.771879933
0.9,0.07,0.1,8,635,0.772980885
0.9,0.07,0.1,10,636,0.774117146
0.9,0.07,0.3,0.1,637,0.723746907
0.9,0.07,0.3,0.5,638,0.820772993
0.9,0.07,0.3,1,639,0.824132185
0.9,0.07,0.3,4,640,0.827332002
0.9,0.07,0.3,6,641,0.828490687
0.9,0.07,0.3,8,642,0.829757581
0.9,0.07,0.3,10,643,0.830706718
0.9,0.07,0.5,0.1,644,0.648270956
0.9,0.07,0.5,0.5,645,0.827706949
0.9,0.07,0.5,1,646,0.831594983
