ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,CO2
0.3,7,0.9,6,0.556818596
0.3,7,0.9,8,0.76130254
0.3,7,0.9,10,0.990709324
0.7,0.07,0.1,0.1,0.6745816
0.7,0.07,0.1,0.5,0.730044466
0.7,0.07,0.1,1,0.731740636
0.7,0.07,0.1,4,0.734259554
0.7,0.07,0.1,6,0.735451913
0.7,0.07,0.1,8,0.736531507
0.7,0.07,0.1,10,0.737669931
0.7,0.07,0.3,0.1,0.666039454
0.7,0.07,0.3,0.5,0.814435556
0.7,0.07,0.3,1,0.817924401
0.7,0.07,0.3,4,0.821126145
0.7,0.07,0.3,6,0.822443528
0.7,0.07,0.3,8,0.823806716
0.7,0.07,0.3,10,0.82469793
0.7,0.07,0.5,0.1,0.574019005
0.7,0.07,0.5,0.5,0.824155605
0.7,0.07,0.5,1,0.828526125
0.7,0.07,0.5,4,0.832081539
0.7,0.07,0.5,6,0.833164509
0.7,0.07,0.5,8,0.83417467
0.7,0.07,0.5,10,0.835867419
0.7,0.07,0.7,0.1,0.41659299
0.7,0.07,0.7,0.5,0.822760629
0.7,0.07,0.7,1,0.831667947
0.7,0.07,0.7,4,0.835788663
0.7,0.07,0.7,6,0.837692926
0.7,0.07,0.7,8,0.838165923
0.7,0.07,0.7,10,0.839315206
0.7,0.07,0.9,0.1,0.165530516
0.7,0.07,0.9,0.5,0.594748885
0.7,0.07,0.9,1,0.809441719
0.7,0.07,0.9,4,0.83760527
0.7,0.07,0.9,6,0.839197658
0.7,0.07,0.9,10,0.841104432
0.7,0.1,0.1,0.1,0.879792296
0.7,0.1,0.1,0.5,0.95772603
0.7,0.1,0.1,1,0.958373574
0.7,0.1,0.1,4,0.96063145
0.7,0.1,0.1,8,0.963502124
0.7,0.1,0.1,10,0.964884849
0.7,0.1,0.3,0.1,0.852167983
0.7,0.1,0.3,0.5,1.236541126
0.7,0.1,0.3,1,1.243044269
0.7,0.1,0.3,4,1.248175987
0.7,0.1,0.3,6,1.250323515
0.7,0.1,0.3,8,1.251699845
0.7,0.1,0.3,10,1.254158362
0.7,0.1,0.5,0.1,0.693796215
0.7,0.1,0.5,0.5,1.261225009
0.7,0.1,0.5,1,1.27163232
0.7,0.1,0.5,4,1.277221242
0.7,0.1,0.5,6,1.280087917
0.7,0.1,0.5,8,1.281982319
0.7,0.1,0.5,10,1.283177315
0.7,0.1,0.7,0.1,0.4678287
0.7,0.1,0.7,0.5,1.230108176
0.7,0.1,0.7,1,1.280772559
0.7,0.1,0.7,4,1.287605597
0.7,0.1,0.7,6,1.28990725
0.7,0.1,0.7,8,1.291918589
0.7,0.1,0.7,10,1.293454066
0.7,0.1,0.9,0.1,0.171761515
0.7,0.1,0.9,0.5,0.712727474
0.7,0.1,0.9,1,1.08201262
0.7,0.1,0.9,4,1.292736265
0.7,0.1,0.9,6,1.294669892
0.7,0.1,0.9,8,1.297078587
0.7,0.1,0.9,10,1.298220415
0.7,1,0.1,0.1,1.365506882
0.7,1,0.1,0.5,1.365754908
0.7,1,0.1,1,1.364833013
0.7,1,0.1,4,1.365807214
0.7,1,0.1,6,1.367062631
0.7,1,0.1,8,1.368321481
0.7,1,0.1,10,1.369575505
0.7,1,0.3,0.1,1.024872246
0.7,1,0.3,0.5,4.060279157
0.7,1,0.3,1,3.715629955
0.7,1,0.3,4,3.651936645
0.7,1,0.3,6,3.656111419
0.7,1,0.3,10,3.662023082
0.7,1,0.5,0.1,0.733109068
0.7,1,0.5,0.5,3.65525552
0.7,1,0.5,1,6.404566499
0.7,1,0.5,4,5.758444501
0.7,1,0.5,6,5.719828599
0.7,1,0.5,8,5.772609929
0.7,1,0.5,10,5.774313886
0.7,1,0.7,0.1,0.440707495
0.7,1,0.7,0.5,2.198608435
0.7,1,0.7,1,4.38306478
0.7,1,0.7,4,7.7732773
0.7,1,0.7,6,7.811080457
0.7,1,0.7,8,7.820652705
0.7,1,0.7,10,7.827666418
0.7,1,0.9,0.1,0.147583357
0.7,1,0.9,0.5,0.735129985
0.7,1,0.9,1,1.469125565
0.7,1,0.9,4,5.82512538
0.7,1,0.9,6,8.736779857
0.7,1,0.9,8,10.25189322
0.7,1,0.9,10,10.21392288
0.7,3,0.1,0.1,0.461834843
0.7,3,0.1,0.5,1.43705299
0.7,3,0.1,1,1.437061293
0.7,3,0.1,4,1.437411236
0.7,3,0.1,6,1.437726815
0.7,3,0.1,8,1.438038088
0.7,3,0.1,10,1.438347652
0.7,3,0.3,0.1,0.343274415
0.7,3,0.3,0.5,1.890815691
0.7,3,0.3,1,4.182587643
0.7,3,0.3,4,4.099089078
0.7,3,0.3,6,4.102131826
0.7,3,0.3,8,4.105699269
0.7,3,0.3,10,4.109463498
0.7,3,0.5,0.1,0.2453971
0.7,3,0.5,0.5,1.227489949
0.7,3,0.5,1,2.618431022
0.7,3,0.5,4,6.505564704
0.7,3,0.5,6,6.509835316
0.7,3,0.5,8,6.516752821
0.7,3,0.5,10,6.524450975
0.7,3,0.7,0.1,0.147588423
0.7,3,0.7,0.5,0.735317585
0.7,3,0.7,1,1.471322512
0.7,3,0.7,4,6.94994803
0.7,3,0.7,6,8.855378135
